1	10000
177418	227417
267720	317719
471369	521368
2634221	2684220
3845269	3995268
13052999	13102998
13219913	13319912
13557163	13607162
17125659	17175658
29878083	30028082
103863907	103913906
120697157	120747156
120936696	121086695
121485435	142535434
142731023	142781022
142967762	143117761
143292817	143342816
143544526	143644525
143771003	143871002
144095784	144145783
144224482	144274481
144401745	144451744
144622414	144672413
144710725	144810724
145833119	145883118
146164651	146214650
146253300	146303299
148026039	148176038
148361359	148511358
148684148	148734147
148954461	149004460
149459646	149509645
205922708	206072707
206332222	206482221
223747847	223797846
235192212	235242211
248908211	249058210
