1	10000
39663687	39713686
39974797	40024796
40233030	40283029
40425835	40475834
40940342	40990341
41143215	41193214
41365794	41415793
42613956	42663955
43213699	43313698
43946570	43996569
44676647	44726646
44908294	44958293
45250204	45350203
45815522	45865521
46216431	46266430
46461040	46561039
47060134	47160133
47317680	65467679
65918361	65968360
66192216	66242215
66404657	66454656
66614196	66664195
66863344	66913343
67107835	67207834
67366297	67516296
67987999	68137998
68514182	68664181
68838947	68988946
69278386	69328385
70010543	70060542
70218730	70318729
70506536	70556535
70735469	70835468
92343417	92443416
92528797	92678796
133073061	133223060
137041194	137091193
139166998	139216997
