0	20000000
20100000	20300000
20700000	21200000
21398819	21885000
22212114	22262114
22596193	22646193
23514853	23564853
24700000	24800000
26100000	27000000
28100000	28800000
29159443	29209443
30200000	30700000
39400000	39500000
40600000	40700000
41200000	41300000
41600000	41800000
42400000	42500000
46100000	46200000
46200000	46300000
62700000	62800000
63200000	63300000
69000000	69100000
73300000	73400000
80300000	81000000
81400000	81500000
81700000	81800000
82600000	82700000
82800000	82900000
84984473	85034473
100200000	100300000
102521392	102531392
