0	100000
900000	1000000
17800000	18200000
21800000	21900000
22000000	22200000
22600000	22800000
38700000	38800000
38818835	38868835
39100000	42354935
42546687	42596687
45500000	46400000
46426964	46476964
46500000	47000000
47200000	47900000
48055707	48105707
48300000	49000000
49095536	49195536
50700000	51100000
51137410	51187410
51300000	51448845
51500000	51600000
74100000	74200000
81000000	81600000
88900000	89200000
125869472	125919472
128616069	128766069
133381404	133431404
133677527	133727527
135524747	135534747
