0	60000
2500000	2600000
8636921	8686921
14600000	15000000
15100000	15400000
16200000	16700000
18100000	18700000
21200000	21500000
21700000	21900000
22300000	22500000
28200000	28400000
28600000	28700000
28900000	29000000
29300000	29500000
29600000	29700000
30100000	30400000
30500000	30600000
31800000	32300000
32600000	32700000
32700000	33300000
33600000	33700000
34023150	34173150
35100000	47000000
59800000	60000000
65500000	66600000
68600000	68700000
68800000	69000000
88389383	88439383
88700000	88800000
90294753	90354753
