0	0
296626	396626
16600000	16700000
18300000	18700000
18900000	19100000
20200000	20600000
21500000	21666608
22200000	25263006
26300000	26400000
27700000	27800000
31500000	31900000
33300000	33700000
34675848	34725848
35500000	35600000
35700000	35800000
36400000	36500000
38200000	38300000
38500000	38700000
40900000	41000000
41600000	42200000
42900000	43000000
53400000	53500000
55400000	55500000
55600000	56100000
56400000	56500000
57900000	58000000
59000000	59100000
60200000	60400000
62410760	62460760
63400000	63600000
75000000	75200000
77300000	77500000
77546461	77596461
79709049	79759049
